"basic","image","pid","parameter","display_pid","maintenance"
"{""color"":""Green, flower color light yellow, orange, pink"",""production"":""China"",""floral_language"":""Acanthocereus tetragonus 'Fairy Castles'\nFloriography: strong, kind, persistent.\nSucculent stem of the Acanthocereus tetragonus 'Fairy Castles' is oval and palm shaped, thick and juicy. Leaves reduce to long needle spines. Because it is almost care free, Acanthocereus tetragonus 'Fairy Castles' is very popular and could be found on desktop, tea table, bedroom and office.\nAcanthocereus tetragonus 'Fairy Castles' requires direct bright sunlight for growth. It blooms in certain conditions. Flower color could be light yellow, orange or pink."",""category"":""Cactaceae, Rhipsalis"",""blooming"":""Succulent plants, sometimes flowers with a short period"",""origin"":""Mexico""}","http://pkb.resource.huahuacaocao.com/YWNhbnRob2NlcmV1cyB0ZXRyYWdvbnVzICdmYWlyeSBjYXN0bGVzJy5qcGc=?imageView2/1/w/%d/h/%d","acanthocereus tetragonus 'fairy castles'","{""min_env_humid"":15,""max_soil_ec"":1000,""min_soil_ec"":100,""min_light_lux"":3000,""min_temp"":5,""max_temp"":35,""max_env_humid"":80,""max_light_mmol"":8700,""max_soil_moist"":50,""min_light_mmol"":3500,""min_soil_moist"":7,""max_light_lux"":100000}","Acanthocereus tetragonus 'Fairy Castles'","{""watering"":""Resistant to drought, water thoroughly when soil is dry, reduce watering in winter dormancy"",""fertilization"":""Dilute fertilizers following instructions, apply once monthly in spring to autumn"",""pruning"":""Remove dead and rotten part timely"",""sunlight"":""Likes strong light, put in sunny places"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""soil"":""Peat and akadama mixed in 3:1 ratio""}"
"{""origin"":""China"",""floral_language"":""Chimonanthus praecox \nFloriography: pride, strong and faithful \nChimonanthus praecox blossom proudly in the snow, with orchid, bamboo, and chrysanthemum together referred to as the \""four gentlemen\"" in the flower, has been named as the city flower of Wuhan. \nChimonanthus praecox plant strong firm and pretty. Leaf blade elliptic, flowers are delicate and cabinet. Color is various, petals of 5 single and double. The fragrance of plum blossom is from bitter cold, a symbol of the Chinese nation strong spiritual quality. \nChimonanthus praecox blossom like the sunshine, summer noon light should be covered. Because of the north-south differences, flowering in December to April of next year, with the ornamental period 1 to 2 weeks."",""blooming"":""Flowering period November-March, viewing period 1-2 weeks"",""category"":""Calycanthaceae, Chimonanthus"",""color"":""Flower color pink"",""production"":""China""}","http://pkb.resource.huahuacaocao.com/YWRpIHZpb2xldCB3YXguanBn?imageView2/1/w/%d/h/%d","adi violet wax","{""min_soil_moist"":15,""min_light_mmol"":3000,""max_light_lux"":50000,""max_env_humid"":80,""min_soil_ec"":350,""max_light_mmol"":6000,""min_light_lux"":3000,""max_soil_ec"":2000,""min_env_humid"":30,""min_temp"":5,""max_temp"":32,""max_soil_moist"":60}","Adi violet wax","{""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""sunlight"":""Likes sunshine, shade properly under summer strong light"",""watering"":""Moderately resistant to drought, water thoroughly when soil is dry"",""fertilization"":""Dilute fertilizers following instructions, top-dressing before and after flowering and defoliation"",""soil"":""Peat or soil with specific nutrients"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely""}"
"{""category"":""Bromeliaceae, Billbergia"",""production"":""China"",""color"":""Leaf color green, edges white, bracts red"",""floral_language"":""Aechmea chantinii 'Samuri'\nFloriography: auspicious, passionate, lucky.\n\nAechmea chantinii 'Samuri' is a genus of flowering plants in the family Bromeliaceae, subfamily Bromelioideae. The genus, named for the Swedish botanist, zoologist, and anatomist Gustaf Johan Billberg. Leaves of Aechmea chantinii 'Samuri' smooth and orderly arranged as a loose lotus flower. Inflorescence, growing from the middle of leaves, composes of bright colorful bracts and build a unique shape. Aechmea chantinii 'Samuri' plants are widely grew in flower beds and family yards.\n\nThese plants grow best in mild sunlight. Bright sunlight should be avoided. Bloom in winter and spring for one to two months."",""blooming"":""Flowering period mainly in winter and spring, viewing period 1-2 months"",""origin"":""Mexico""}","http://pkb.resource.huahuacaocao.com/YWVjaG1lYSBjaGFudGluaWkgJ3NhbXVyaScuanBn?imageView2/1/w/%d/h/%d","aechmea chantinii 'samuri'","{""max_light_mmol"":4300,""max_soil_ec"":1000,""min_soil_moist"":15,""min_env_humid"":30,""max_temp"":37,""max_soil_moist"":60,""min_temp"":10,""min_light_lux"":800,""min_light_mmol"":2000,""min_soil_ec"":300,""max_env_humid"":85,""max_light_lux"":27000}","Aechmea chantinii 'Samuri'","{""fertilization"":""Dilute fertilizers following instructions,  apply liquid fertilizers once every 10-15 days in summer and autumn"",""pruning"":""Remove old, diseased, dead leaves and withered flowers timely"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""sunlight"":""Like half shade, bright scattered light"",""watering"":""Like moist environments, water thoroughly when soil is dry, water every day in summer, reduce water in winter"",""soil"":""Peat or soil with specific nutrients""}"
"{""origin"":""Mexico"",""production"":""China"",""category"":""Bromeliaceae, Billbergia"",""floral_language"":""Aechmea fulgens\nFloriography: auspicious, passionate, lucky.\n\nAechmea fulgens is a genus of flowering plants in the family Bromeliaceae, subfamily Bromelioideae. The genus, named for the Swedish botanist, zoologist, and anatomist Gustaf Johan Billberg. Leaves of Aechmea fulgens smooth and orderly arranged as a loose lotus flower. Inflorescence, growing from the middle of leaves, composes of bright colorful bracts and build a unique shape. Aechmea fulgens plants are widely grew in flower beds and family yards.\n\nThese plants grow best in mild sunlight. Bright sunlight should be avoided. Bloom in winter and spring for one to two months."",""blooming"":""Flowering period mainly in winter and spring, viewing period 1-2 months"",""color"":""Bract orange red, flower color yellow, blue""}","http://pkb.resource.huahuacaocao.com/YWVjaG1lYSBmdWxnZW5zLmpwZw==?imageView2/1/w/%d/h/%d","aechmea fulgens","{""min_env_humid"":30,""min_soil_ec"":300,""max_temp"":37,""max_soil_moist"":60,""max_light_lux"":27000,""min_light_mmol"":2000,""max_soil_ec"":1000,""max_env_humid"":85,""min_temp"":10,""min_light_lux"":800,""min_soil_moist"":15,""max_light_mmol"":4300}","Aechmea fulgens","{""watering"":""Like moist environments, water thoroughly when soil is dry, water every day in summer, reduce water in winter"",""soil"":""Peat or soil with specific nutrients"",""fertilization"":""Dilute fertilizers following instructions,  apply liquid fertilizers once every 10-15 days in summer and autumn"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""pruning"":""Remove old, diseased, dead leaves and withered flowers timely"",""sunlight"":""Like half shade, bright scattered light""}"
"{""color"":""Leaf color green, with strong light leaf edges turn to red"",""blooming"":""Succulent plants, sometimes flowers, orange red flowers"",""origin"":""Mediterranean region"",""category"":""Crassulaceae, Aeonium"",""floral_language"":""Aeonium arboreum\nFloriography: elegant, blessed, beautiful\nIs a large succulent. Has a classical and graceful appearance with green oval leaves in a rosette-like arrangement, leaf edges are serrated and turn red under abundant sunlight.\nLikes adequate light, takes a short sleep under summer high temperatures, need take a shelter and reduce watering. Blooms sometimes with orange flowers."",""production"":""China""}","http://pkb.resource.huahuacaocao.com/YWVvbml1bSBhcmJvcmV1bS5qcGc=?imageView2/1/w/%d/h/%d","aeonium arboreum","{""max_env_humid"":80,""min_light_lux"":3000,""max_soil_ec"":1000,""max_light_mmol"":8600,""min_light_mmol"":4500,""min_temp"":5,""max_temp"":35,""max_soil_moist"":50,""min_env_humid"":15,""min_soil_moist"":7,""min_soil_ec"":300,""max_light_lux"":80000}","Aeonium arboreum","{""size"":""Diameter ≥ 5 cm, height ≥ 5 cm"",""fertilization"":""Dilute fertilizers following instructions,  apply once monthly in spring and autumn"",""watering"":""Resistant to drought, water thoroughly when soil is dry, reduce water in summer"",""sunlight"":""Like sunshine, a short period of dormancy in summer, use half shade for better care"",""pruning"":""Remove dead and rotten part timely"",""soil"":""Peat and akadama mixed in 3:1 ratio""}"
"{""production"":""China"",""color"":""Leaf color black purple, without adequate e sunlight, leaves turning to green"",""floral_language"":""Aeonium arboreum 'Atropureum'\nFloriography: mysterious, beautiful, strong.\nThe tree aeonium is succulent plant with treelike stem. Rosette ordered leaves are dark purple, wide oval, thin, leathery and toothed at edges. Leaves turn into green if not sunbath well. It is very popular because of shape and color of the leaves.\nThe plant requires sunny habitat. It will go through dormancy in summer and should be remove from direct sunlight to a place with scattered light. Small blooms are yellow if flowered."",""category"":""Crassulaceae, Aeonium"",""origin"":""Africa"",""blooming"":""Succulent plants, sometimes flowers, yellow flowers""}","http://pkb.resource.huahuacaocao.com/YWVvbml1bSBhcmJvcmV1bSAnYXRyb3B1cmV1bScuanBn?imageView2/1/w/%d/h/%d","aeonium arboreum 'atropureum'","{""min_temp"":6,""max_soil_ec"":1000,""max_light_lux"":80000,""min_soil_moist"":7,""min_env_humid"":15,""max_temp"":35,""min_soil_ec"":300,""min_light_mmol"":2700,""max_soil_moist"":50,""min_light_lux"":2800,""max_light_mmol"":6700,""max_env_humid"":80}","Aeonium arboreum 'Atropureum'","{""soil"":""Peat and akadama mixed in 3:1 ratio"",""watering"":""Resistant to drought, water thoroughly when soil is dry, reduce water in dormancy"",""size"":""Diameter 6-10 cm, height ≥ 10 cm"",""sunlight"":""Like sunshine, relatively resistant to half shade, short period of dormancy in summer, use half shade for better care"",""fertilization"":""Dilute fertilizers following instructions, apply once monthly in spring, autumn, and winter"",""pruning"":""Remove dead and rotten part timely""}"
"{""production"":""Yunnan"",""blooming"":""Succulent plants, sometimes flowers, light pink flowers"",""origin"":""Atlantic Osean region"",""category"":""Crassulaceae, Aeonium"",""color"":""New leaf light yellow, slightly green, with adequate light leaf edges turn to orange red"",""floral_language"":""Aeonium decorum f. variegata\nFloriography: bright, sunshine, beautiful \nAeonium decorum f. variegata plant stature like the lotus. The flat blade is ovate, with short white hairs on the margin. The color of new leaves is pale yellow, with a small amount of light green. When sunny the leaf edge will turn orange to pink. In hot summer, the blade will become green, please pay attention to shading and control watering. Because of its bright color, easy care, it is deeply loved by the public. \nLike the sunshine, also is flowering. Plant will produce flower stem in the middle, with pale pink flowers.""}","http://pkb.resource.huahuacaocao.com/YWVvbml1bSBkZWNvcnVtIGYuIHZhcmllZ2F0YS5qcGc=?imageView2/1/w/%d/h/%d","aeonium decorum f. variegata","{""max_soil_moist"":50,""max_soil_ec"":1000,""min_soil_moist"":7,""min_soil_ec"":300,""min_light_mmol"":4000,""min_env_humid"":15,""max_light_lux"":85000,""min_temp"":6,""min_light_lux"":3800,""max_env_humid"":80,""max_temp"":35,""max_light_mmol"":8700}","Aeonium decorum f. variegata","{""size"":""Diameter 6-10 cm, height 5-15 cm"",""watering"":""Water thoroughly 2 times during summer dormancy, keep soil moist in other time, water thoroughly when soil is dry"",""sunlight"":""In summer half dormancy, use half shade for better care, spring and autumn are its growing seasons, need plenty of sunshine"",""fertilization"":""Dilute fertilizers following instructions,  apply once monthly in spring and autumn"",""pruning"":""Remove dead and rotten part timely"",""soil"":""Peat and akadama mixed in 3:1 ratio""}"
"{""blooming"":""Succulent plants, sometimes flowers, yellow flowers"",""category"":""Crassulaceae, Aeonium"",""floral_language"":""Aeonium sedifolium \nFloriography: enthusiastic, interesting, pretty\nAeonium sedifolium is small and cute, green leaves are tightly arranged like a small lotus. When sun light is adequate, leaves have purple marks and turn red with prolonged exposure. Leaf surfaces may be sticky with secreted fluid, which may trap insects and dust, can be washed by water.\nLikes sunny days, leaves will close when in summer dormant period, shade properly under scattered light. Flowers sometimes with yellow flowers."",""origin"":""Africa"",""color"":""Leaf color green, when sunny leave have fuchsia marks"",""production"":""China""}","http://pkb.resource.huahuacaocao.com/YWVvbml1bSBzZWRpZm9saXVtLmpwZw==?imageView2/1/w/%d/h/%d","aeonium sedifolium","{""max_light_lux"":80000,""max_soil_moist"":50,""max_temp"":35,""min_light_mmol"":5000,""min_env_humid"":15,""max_env_humid"":80,""max_soil_ec"":1000,""max_light_mmol"":7000,""min_light_lux"":3200,""min_temp"":5,""min_soil_moist"":7,""min_soil_ec"":300}","Aeonium sedifolium","{""watering"":""Resistant to drought, keep soil moist, water thoroughly when soil is dry"",""pruning"":""Remove dead and rotten part timely"",""fertilization"":""Dilute fertilizers following instructions, apply once 1-2 monthls in spring and autumn"",""size"":""Diameter ≥ 3 cm, height ≥ 5 cm"",""soil"":""Peat and akadama mixed in 3:1 ratio"",""sunlight"":""Likes adequate light, an apparent period of dormancy in summer, placed in the with scattered light at""}"
"{""blooming"":""Succulent plants, sometimes flowers, orange red flowers"",""origin"":""Mediterranean region"",""production"":""China"",""category"":""Crassulaceae, Aeonium"",""floral_language"":""Aeonium urbicum\nFloriography: elegant, blessed, beautiful\nIs a large succulent. Has a classical and graceful appearance with green oval leaves in a rosette-like arrangement, leaf edges are serrated and turn red under abundant sunlight.\nLikes adequate light, takes a short sleep under summer high temperatures, need take a shelter and reduce watering. Blooms sometimes with orange flowers."",""color"":""Leaf color green, with strong light leaf edges turn to red""}","http://pkb.resource.huahuacaocao.com/YWVvbml1bSB1cmJpY3VtLmpwZw==?imageView2/1/w/%d/h/%d","aeonium urbicum","{""max_env_humid"":80,""min_light_lux"":3000,""max_light_mmol"":8600,""min_light_mmol"":4500,""min_soil_moist"":7,""min_env_humid"":15,""min_soil_ec"":300,""max_soil_moist"":50,""min_temp"":5,""max_soil_ec"":1000,""max_light_lux"":80000,""max_temp"":35}","Aeonium urbicum","{""fertilization"":""Dilute fertilizers following instructions,  apply once monthly in spring and autumn"",""size"":""Diameter ≥ 5 cm, height ≥ 5 cm"",""sunlight"":""Like sunshine, a short period of dormancy in summer, use half shade for better care"",""soil"":""Peat and akadama mixed in 3:1 ratio"",""watering"":""Resistant to drought, water thoroughly when soil is dry, reduce water in summer"",""pruning"":""Remove dead and rotten part timely""}"
"{""category"":""Labiatae, Agastache"",""origin"":""China"",""color"":""Flower color light purple"",""production"":""China"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""floral_language"":""Agastache foeniculum \nFloriography: trustable, lovely, strong\nIs a herbal plant, leaves dark green color, long oval shape with wavy and toothed edges, slightly wrinkled, inflorescence is like spikes of wheat with cute flowers in paly pruple, has sweet fragrance, can be used for flowering beds, also as a herbal medicine for anti-bacterium. \nLikes sunshine, blooms in June-September for 2-3 weeks.""}","http://pkb.resource.huahuacaocao.com/YWdhc3RhY2hlIGZvZW5pY3VsdW0uanBn?imageView2/1/w/%d/h/%d","agastache foeniculum","{""min_env_humid"":30,""max_env_humid"":80,""min_soil_moist"":15,""min_light_lux"":4000,""max_soil_moist"":60,""max_light_lux"":60000,""min_temp"":5,""min_soil_ec"":350,""max_soil_ec"":2000,""max_light_mmol"":6000,""max_temp"":35,""min_light_mmol"":4000}","Agastache foeniculum","{""watering"":""Water thoroughly after soil surface dries"",""fertilization"":""Dilute fertilizers following instructions, dilute fertilizers following instructions,  in early summer, spring and autumn apply fertilizers once monthly"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Like adequate light"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
